Fish,hakai_id,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
Hakai_P_A12 (15) unkn 146 1117,U1117,Middle,3,0.46,Porter_Cr,1,0.12,Gluskie,1,0.07,Chilko,3,0.07,Sandpoint,1,0.07
Hakai_P_A12 (15) unkn 146 1118,U1118,Mitchell,3,0.99,Chilko,3,0.01,,,,,,,,,
Hakai_P_A12 (15) unkn 146 1183,U1183,Mitchell,3,1.00,Quesnel_Mitche,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 146 1184,U1184,Mitchell,3,0.99,Roaring,3,0.00,L_Adams,4,0.00,Blue_Lead_Ck,3,0.00,Thompson_N,2,0.00
Hakai_P_A12 (15) unkn 146 1185,U1185,Chilko,3,1.00,Middle,3,0.00,,,,,,,,,
Hakai_P_A12 (15) unkn 146 1347,U1347,Middle,3,0.49,U_Horsefly,3,0.37,Stellako,3,0.06,Kuzkwa_Cr,3,0.03,Gluskie,1,0.01
Hakai_P_A12 (15) unkn 146 1348,U1348,Pitt,2,0.96,Thompson_N,2,0.02,Weaver,4,0.01,Birkenhead,3,0.00,,,
Hakai_P_A12 (15) unkn 146 1349,U1349,Chilko,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 146 1350,U1350,Mitchell,3,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 146 1371,U1371,Weaver,4,1.00,L_Adams,4,0.00,Birkenhead,3,0.00,Chilko,3,0.00,,,
Hakai_P_A12 (15) unkn 146 1381,U1381,Gates_Cr,2,1.00,,,,,,,,,,,,
Hakai_P_A12 (15) unkn 146 1382,U1382,Middle,3,0.98,Porter_Cr,1,0.01,Gluskie,1,0.01,Sandpoint,1,0.00,Pinchi_Cr,3,0.00
Hakai_P_A12 (15) unkn 146 475,U475,Middle,3,1.00,Kuzkwa_Cr,3,0.00,Sandpoint,1,0.00,Bivouac,1,0.00,,,
Hakai_P_A12 (15) unkn 146 476,U476,U_Horsefly,3,0.89,L_Adams,4,0.07,Horsefly,3,0.01,Chilko,3,0.01,L_Horsefly,3,0.01
Hakai_P_A12 (15) unkn 146 477,U477,U_Horsefly,3,0.98,Horsefly,3,0.01,Chilko,3,0.01,L_Horsefly,3,0.00,McKinley,3,0.00
Hakai_P_A12 (15) unkn 146 478,U478,Chilko,3,0.97,Middle,3,0.01,L_Adams,4,0.01,Gluskie,1,0.01,Chilko-North,3,0.01
Hakai_P_A12 (15) unkn 146 479,U479,Middle,3,0.99,Chilko,3,0.01,Tachie,3,0.00,,,,,,
Hakai_P_A12 (15) unkn 146 480,U480,Chilko,3,1.00,U_Horsefly,3,0.00,Chilko_south,2,0.00,,,,,,
